SpaceX;LC-39A| Kennedy Space Center| Florida| USA;Fri Aug 07| 2020 05:12 UTC;Falcon 9 Block 5 | Starlink V1 L9 & BlackSky;Landed;370,02;Success;1;7
CASC;Site 9401 (SLS-2)| Jiuquan Satellite Launch Center| China;Thu Aug 06| 2020 04:01 UTC;Long March 2D | Gaofen-9 04 & Q-SAT;Crash;210,71;Success;1;10
SpaceX;Pad A| Boca Chica| Texas| USA;Tue Aug 04| 2020 23:57 UTC;Starship Prototype | 150 Meter Hop;Lost;192,57;Success;5;10
Roscosmos;Site 200/39| Baikonur Cosmodrome| Kazakhstan;Thu Jul 30| 2020 21:25 UTC;Proton-M/Briz-M | Ekspress-80 & Ekspress-103;Fixing;232,55;Success;4;9
ULA;SLC-41| Cape Canaveral AFS| Florida| USA;Thu Jul 30| 2020 11:50 UTC;Atlas V 541 | Perseverance;Lost;197,21;Success;3;10
CASC;LC-9| Taiyuan Satellite Launch Center| China;Sat Jul 25| 2020 03:13 UTC;Long March 4B | Ziyuan-3 03| Apocalypse-10 & NJU-HKU 1;Landed;126,49;Success;5;6
Roscosmos;Site 31/6| Baikonur Cosmodrome| Kazakhstan;Thu Jul 23| 2020 14:26 UTC;Soyuz 2.1a | Progress MS-15;Lost;143,55;Success;2;3
CASC;LC-101| Wenchang Satellite Launch Center| China;Thu Jul 23| 2020 04:41 UTC;Long March 5 | Tianwen-1;Crash;97,47;Success;3;8
SpaceX;SLC-40| Cape Canaveral AFS| Florida| USA;Mon Jul 20| 2020 21:30 UTC;Falcon 9 Block 5 | ANASIS-II;Landed;272,36;Success;4;9
JAXA;LA-Y1| Tanegashima Space Center| Japan;Sun Jul 19| 2020 21:58 UTC;H-IIA 202 | Hope Mars Mission;Fixing;111,08;Success;1;3
Northrop;LP-0B| Wallops Flight Facility| Virginia| USA;Wed Jul 15| 2020 13:46 UTC;Minotaur IV | NROL-129;Lost;404,08;Success;3;6
ExPace;Site 95| Jiuquan Satellite Launch Center| China;Fri Jul 10| 2020 04:17 UTC;Kuaizhou 11 | Jilin-1 02E| CentiSpace-1 S2;Landed;121,25;Failure;5;1
CASC;LC-3| Xichang Satellite Launch Center| China;Thu Jul 09| 2020 12:11 UTC;Long March 3B/E | Apstar-6D;Lost;199,98;Success;3;9
IAI;Pad 1| Palmachim Airbase| Israel;Mon Jul 06| 2020 01:00 UTC;Shavit-2 | Ofek-16;Lost;263,75;Success;2;4
CASC;Site 9401 (SLS-2)| Jiuquan Satellite Launch Center| China;Sat Jul 04| 2020 23:44 UTC;Long March 2D | Shiyan-6 02;Landed;155,5;Success;3;2
Rocket Lab;Rocket Lab LC-1A| M?Â�hia Peninsula| New Zealand;Sat Jul 04| 2020 21:19 UTC;Electron/Curie | Pics Or It Didn??Â¦t Happen;Fixing;424,45;Failure;4;3
CASC;LC-9| Taiyuan Satellite Launch Center| China;Fri Jul 03| 2020 03:10 UTC;Long March 4B | Gaofen Duomo & BY-02;Crash;352,84;Success;4;3
SpaceX;SLC-40| Cape Canaveral AFS| Florida| USA;Tue Jun 30| 2020 20:10 UTC;Falcon 9 Block 5 | GPS III SV03;Crash;291,44;Success;1;8
CASC;LC-2| Xichang Satellite Launch Center| China;Tue Jun 23| 2020 01:43 UTC;Long March 3B/E | Beidou-3 G3;Crash;425,51;Success;5;6
CASC;Site 9401 (SLS-2)| Jiuquan Satellite Launch Center| China;Wed Jun 17| 2020 07:19 UTC;Long March 2D | Gaofen-9 03| Pixing III A & HEAD-5;Fixing;366,63;Success;2;10
SpaceX;SLC-40| Cape Canaveral AFS| Florida| USA;Sat Jun 13| 2020 09:21 UTC;Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18;Lost;115,37;Success;5;2
Rocket Lab;Rocket Lab LC-1A| M?Â�hia Peninsula| New Zealand;Sat Jun 13| 2020 05:12 UTC;Electron/Curie | Don't stop me now!;Fixing;424,37;Success;4;1
CASC;LC-9| Taiyuan Satellite Launch Center| China;Wed Jun 10| 2020 18:31 UTC;Long March 2C | Haiyang-1D;Crash;321,73;Success;2;8
SpaceX;SLC-40| Cape Canaveral AFS| Florida| USA;Thu Jun 04| 2020 01:25 UTC;Falcon 9 Block 5 | Starlink V1 L7;Crash;143,95;Success;1;6
